final_rank,title,year,genres,popularity_rank,rating_rank,final_score
1,Parasite,,"Horror, Science Fiction",2,27,20.75
2,The Godfather,,"Drama, Crime",46,30,34.00
3,The Shawshank Redemption,,"Drama, Crime",71,28,38.75
4,The Dark Knight,,"Drama, Action, Crime, Thriller",17,64,52.25
5,12 Angry Men,,Drama,237,10,66.75
6,Spirited Away,,"Animation, Family, Fantasy",29,84,70.25
7,GoodFellas,,"Drama, Crime",95,62,70.25
8,The Lord of the Rings: The Return of the King,,"Adventure, Fantasy, Action",138,48,70.50
9,The Godfather: Part II,,"Crime, Drama, Thriller",232,17,70.75
10,Dune: Part Two,,"Science Fiction, Adventure",26,86,71.00
11,Spider-Man: Across the Spider-Verse,,"Animation, Action, Adventure, Science Fiction",22,92,74.50
12,Schindler's List,,"Drama, History, War",182,42,77.00
13,Whiplash,,"Drama, Music",11,105,81.50
14,Spider-Man: Into the Spider-Verse,,"Animation, Action, Adventure, Science Fiction",12,112,87.00
15,City of God,,"Drama, Crime",310,38,106.00
16,There Will Be Blood,,Drama,200,82,111.50
17,Portrait of a Lady on Fire,,"Drama, Romance, History",151,102,114.25
18,Come and See,,"Drama, War",431,9,114.50
19,La Haine,,Drama,335,47,119.00
20,The Empire Strikes Back,,"Adventure, Action, Science Fiction",127,130,129.25
21,Apocalypse Now,,"Drama, War",268,94,137.50
22,The Lord of the Rings: The Two Towers,,"Adventure, Fantasy, Action",156,140,144.00
23,Seven Samurai,,"Action, Drama",536,14,144.50
24,Interstellar,,"Adventure, Drama, Science Fiction",6,199,150.75
25,The Lord of the Rings: The Fellowship of the Ring,,"Adventure, Fantasy, Action",69,179,151.50
26,"The Good, the Bad and the Ugly",,Western,445,54,151.75
27,Grave of the Fireflies,,Drama,372,80,153.00
28,Oldboy,,"Drama, Thriller, Mystery, Action",165,151,154.50
29,Perfect Blue,,"Animation, Thriller",210,141,158.25
30,The Handmaiden,,"Thriller, Drama, Romance",287,124,164.75
31,In the Mood for Love,,"Drama, Romance",277,135,170.50
32,Inglourious Basterds,,"Drama, Thriller, War",36,217,171.75
33,Princess Mononoke,,"Adventure, Fantasy, Animation",186,171,174.75
34,Memories of Murder,,"Crime, Drama, Thriller",371,119,182.00
35,Chernobyl,,Documentary,700,21,190.75
36,The Silence of the Lambs,,"Crime, Drama, Thriller",41,241,191.00
37,Se7en,,"Crime, Mystery, Thriller",39,247,195.00
38,The Pianist,,"Drama, War",281,173,200.00
39,Howl's Moving Castle,,"Fantasy, Animation, Adventure",93,252,212.25
40,Cinema Paradiso,,"Drama, Romance",618,78,213.00
41,The Thing,,"Horror, Mystery, Science Fiction",245,203,213.50
42,No Country for Old Men,,"Crime, Drama, Thriller",108,251,215.25
43,Harakiri,,Drama,868,2,218.50
44,"Paris, Texas",,Drama,449,145,221.00
45,Before Sunrise,,"Drama, Romance",155,244,221.75
46,Rear Window,,"Thriller, Mystery",393,166,222.75
47,One Flew Over the Cuckoo's Nest,,Drama,338,189,226.25
48,Stalker,,"Thriller, Horror",599,107,230.00
49,Neon Genesis Evangelion: The End of Evangelion,,"Animation, Science Fiction, Action, Drama",726,68,232.50
50,Good Will Hunting,,Drama,70,289,234.25
51,Psycho,,"Horror, Thriller, Mystery",175,260,238.75
52,It's a Wonderful Life,,"Drama, Family, Fantasy",507,152,240.75
53,Do the Right Thing,,Drama,557,136,241.25
54,Everything Everywhere All at Once,,"Action, Adventure, Science Fiction",3,327,246.00
55,Normal People,,Drama,644,117,248.75
56,Over the Garden Wall,,Comedy,964,11,249.25
57,Before Sunset,,"Drama, Romance",344,220,251.00
58,Sunset Boulevard,,Drama,784,98,269.50
59,Incendies,,"Drama, War, Mystery",719,120,269.75
60,The Departed,,"Drama, Thriller, Crime",202,294,271.00
61,Yi Yi,,Drama,986,33,271.25
62,2001: A Space Odyssey,,"Science Fiction, Mystery, Adventure",109,337,280.00
63,The Apartment,,"Comedy, Drama, Romance",840,99,284.25
64,Prisoners,,"Drama, Thriller, Crime",112,344,286.00
65,Barry Lyndon,,"Drama, Romance, War",730,142,289.00
66,Django Unchained,,"Drama, Western",50,376,294.50
67,Fight Club,,Drama,4,393,295.75
68,Ikiru,,Drama,1054,43,295.75
69,Paths of Glory,,"War, Drama, History",942,88,301.50
70,Ran,,,1080,50,307.50
71,Life Is Beautiful,,"Comedy, Drama",606,213,311.25
72,Fantastic Mr. Fox,,"Adventure, Animation, Comedy, Family",59,398,313.25
73,Stop Making Sense,,"Documentary, Music",1248,3,314.25
74,Pulp Fiction,,"Thriller, Crime",10,424,320.50
75,Twin Peaks,,"TV Movie, Drama, Mystery, Thriller",1243,13,320.50
76,Singin' in the Rain,,"Comedy, Romance",519,255,321.00
77,Dead Poets Society,,Drama,56,417,326.75
78,Alien,,"Horror, Science Fiction",147,399,336.00
79,The Seventh Seal,,"Fantasy, Drama",715,215,340.00
80,Chungking Express,,"Drama, Comedy, Romance",362,333,340.25
81,High and Low,,"Drama, Crime, Mystery",1314,18,342.00
82,Children of Men,,"Drama, Action, Thriller, Science Fiction",423,324,348.75
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,"Comedy, War",473,309,350.00
84,Amadeus,,"History, Music, Drama",638,258,353.00
85,Eternal Sunshine of the Spotless Mind,,"Science Fiction, Drama, Romance",28,463,354.25
86,Lawrence of Arabia,,"Adventure, History, War",850,190,355.00
87,The Grand Budapest Hotel,,"Comedy, Drama",25,482,367.75
88,Tokyo Story,,Drama,1195,100,373.75
89,A Brighter Summer Day,,"Crime, Drama, Romance",1339,53,374.50
90,Twin Peaks: The Return,,Documentary,1474,16,380.50
91,The Shining,,"Horror, Thriller",33,499,382.50
92,Casablanca,,"Drama, Romance",364,390,383.50
93,Dog Day Afternoon,,"Crime, Drama, Thriller",666,292,385.50
94,Heat,,"Action, Crime, Drama",355,396,385.75
95,Once Upon a Time in the West,,"Drama, Western",1085,153,386.00
96,Akira,,"Animation, Science Fiction, Action",394,388,389.50
97,Terminator 2: Judgment Day,,"Action, Thriller, Science Fiction",468,370,394.50
98,Chinatown,,"Crime, Drama, Mystery, Thriller",619,334,405.25
99,Neon Genesis Evangelion,,"Animation, Science Fiction, Action, Drama",1551,34,413.25
100,Aftersun,,Drama,99,518,413.25
101,Cowboy Bebop,,"Action, Animation, Science Fiction",1637,6,413.75
102,Mulholland Drive,,"Thriller, Drama, Mystery",221,479,414.50
103,Oppenheimer,,"Drama, History",7,552,415.75
104,Paris Is Burning,,Documentary,1497,56,416.25
105,Mommy,,Drama,842,283,422.75
106,Perfect Days,,Drama,456,413,423.75
107,The Father,,Drama,647,350,424.25
108,The Prestige,,"Drama, Mystery, Science Fiction",173,514,428.75
109,Persona,,Drama,543,391,429.00
110,Mirror,,"Science Fiction, Drama, Romance",1095,225,442.50
111,Saving Private Ryan,,"Drama, History, War",251,509,444.50
112,The Truman Show,,"Comedy, Drama",21,587,445.50
113,The Red Shoes,,"Drama, Romance",1340,149,446.75
114,Shoplifters,,"Drama, Crime, Thriller",810,328,448.50
115,Vertigo,,"Mystery, Romance, Thriller",309,496,449.25
116,The Haunting of Hill House,,,1104,232,450.00
117,The 400 Blows,,Drama,989,272,451.25
118,Close-Up,,"Crime, Drama",1466,114,452.00
119,8½,,Drama,869,323,459.50
120,The Holdovers,,"Comedy, Drama",134,569,460.25
121,The Passion of Joan of Arc,,"Drama, History",1532,103,460.25
122,Taylor Swift: The Eras Tour,,Music,960,296,462.00
123,Three Colours: Red,,"Drama, Mystery, Romance",1183,222,462.25
124,Autumn Sonata,,Drama,1633,74,463.75
125,A Woman Under the Influence,,Drama,1433,146,467.75
126,Ratatouille,,"Animation, Comedy, Family, Fantasy",52,618,476.50
127,Mishima: A Life in Four Chapters,,Drama,1591,111,481.00
128,Raging Bull,,Drama,522,470,483.00
129,Bicycle Thieves,,Drama,1088,297,494.75
130,Watchmen,,"Mystery, Action, Science Fiction",697,428,495.25
131,Band of Brothers,,Drama,1986,1,497.25
132,The Queen's Gambit,,Documentary,413,526,497.75
133,M,,"Animation, Family, Comedy, Action",1187,274,502.25
134,Your Name.,,"Animation, Romance, Drama",258,585,503.25
135,Inception,,"Action, Science Fiction, Adventure",19,666,504.25
136,The Iron Giant,,"Family, Animation, Science Fiction, Adventure",613,469,505.00
137,The Green Mile,,"Fantasy, Drama, Crime",369,551,505.50
138,Back to the Future,,"Adventure, Comedy, Science Fiction",89,647,507.50
139,Fargo,,"Crime, Drama, Thriller",211,614,513.25
140,Moonlight,,Drama,110,650,515.00
141,National Theatre Live: Fleabag,,"Comedy, Drama",2017,15,515.50
142,Napoleon,,"History, War, Romance, Drama",526,515,517.75
143,A Separation,,Drama,1533,186,522.75
144,WALL·E,,"Animation, Family, Science Fiction",101,667,525.50
145,City Lights,,"Comedy, Romance, Drama",1470,219,531.75
146,Kill Bill: Vol. 1,,"Action, Crime",42,702,537.00
147,Wild Strawberries,,Drama,1450,233,537.25
148,Marcel the Shell with Shoes On,,"Animation, Comedy, Family",622,519,544.75
149,Andrei Rublev,,"Drama, History",1870,104,545.50
150,Metropolis,,"Drama, Science Fiction",880,435,546.25
151,Magnolia,,Drama,493,568,549.25
152,Trainspotting,,"Drama, Crime",243,657,553.50
153,Taste of Cherry,,Drama,1370,285,556.25
154,Life,,"Horror, Science Fiction, Mystery, Thriller",1458,256,556.50
155,Mad Max: Fury Road,,"Action, Adventure, Science Fiction",73,719,557.50
156,Citizen Kane,,"Mystery, Drama",385,615,557.50
157,It's Such a Beautiful Day,,"Animation, Comedy",1407,278,560.25
158,All About Eve,,Drama,1579,221,560.50
159,Full Metal Jacket,,"Drama, War",359,631,563.00
160,The King of Comedy,,"Drama, Comedy",748,504,565.00
161,Wings of Desire,,"Drama, Fantasy, Romance",1348,311,570.25
162,My Neighbor Totoro,,"Fantasy, Animation, Family",132,722,574.50
163,Boogie Nights,,Drama,487,604,574.75
164,Some Like It Hot,,"Comedy, Romance, Crime",947,466,586.25
165,Rosemary's Baby,,"Drama, Horror, Thriller",504,616,588.00
166,Sound of Metal,,"Drama, Music",299,697,597.50
167,Past Lives,,"Drama, Romance",72,778,601.50
168,All That Jazz,,Drama,1597,270,601.75
169,Solaris,,"Drama, Science Fiction, Mystery",981,481,606.00
170,The Elephant Man,,"Drama, History",854,524,606.50
171,Cure,,"Comedy, Horror",1026,468,607.50
172,Where Is the Friend's House?,,"Drama, Family",1817,207,609.50
173,Yojimbo,,"Drama, Thriller",1542,304,613.50
174,Fanny and Alexander,,"Fantasy, Drama, Mystery",2100,118,613.50
175,La Jetée,,"Romance, Science Fiction",1754,235,614.75
176,Modern Times,,"Comedy, Drama, Romance",1309,385,616.00
177,The Battle of Algiers,,"Drama, War, History",2056,139,618.25
178,Star Wars,,"Adventure, Action, Science Fiction",85,797,619.00
179,Radiohead: In Rainbows – From the Basement,,"Music, Documentary",N/A,4,619.75
180,No Half Measures: Creating the Final Season of Breaking Bad,,Documentary,N/A,5,620.50
181,Woman in the Dunes,,"Drama, Thriller",2215,90,621.25
182,Fallen Angels,,"Action, Romance, Crime",363,708,621.75
183,Fullmetal Alchemist: Brotherhood,,,N/A,7,622.00
184,Little Miss Sunshine,,"Comedy, Drama",96,799,623.25
185,BEEF,,"Documentary, Music",963,510,623.25
186,The Great Dictator,,"Comedy, War",1655,281,624.50
187,Planet Earth II,,Documentary,N/A,12,625.75
188,The Act of Killing,,Documentary,2004,168,627.00
189,Network,,Drama,1262,418,629.00
190,Planet Earth,,Documentary,N/A,19,631.00
191,Samuel,,,N/A,20,631.75
192,La Dolce Vita,,"Comedy, Drama",1384,381,631.75
193,The Pop Out: Ken & Friends,,"Music, Documentary",N/A,22,633.25
194,Dekalog,,,N/A,23,634.00
195,Love Exposure,,"Action, Comedy, Drama, Romance",2006,177,634.25
196,The Human Condition III: A Soldier's Prayer,,"War, Drama, History",N/A,24,634.75
197,Renaissance: A Film by Beyoncé,,"Music, Documentary",N/A,25,635.50
198,When They See Us,,Documentary,N/A,26,636.25
199,Memento,,"Mystery, Thriller",118,809,636.25
200,Bo Burnham: Inside,,"Comedy, Drama",585,654,636.75
201,The Lion King,,"Family, Animation, Drama",820,576,637.00
202,Berserk,,"Fantasy, Thriller",N/A,29,638.50
203,The Night of the Hunter,,"Crime, Drama, Thriller",1290,422,639.00
204,Ping Pong the Animation,,,N/A,31,640.00
205,Avatar Spirits,,Documentary,N/A,32,640.75
206,Casino,,"Crime, Drama",524,681,641.75
207,Vinland Saga,,,N/A,35,643.00
208,Drive My Car,,Drama,550,674,643.00
209,The Beatles: Get Back,,"Music, Documentary",N/A,36,643.75
210,Nirvana: Unplugged In New York,,"Music, Documentary",N/A,37,644.50
211,Nana,,"Romance, Drama, Music",N/A,39,646.00
212,Double Indemnity,,"Crime, Thriller",1322,421,646.25
213,National Theatre Live: Prima Facie,,"Drama, Crime",N/A,40,646.75
214,Tampopo,,Comedy,1629,320,647.25
215,Nirvana the Band the Show,,,N/A,41,647.50
216,Tapping the Wire,,Documentary,N/A,44,649.75
217,Nobody Knows,,Drama,2024,192,650.00
218,Night and Fog,,"Documentary, War",N/A,45,650.50
219,Blue Planet II,,,N/A,46,651.25
220,The Human Condition I: No Greater Love,,"War, Drama, History",N/A,49,653.50
221,The Tale of the Princess Kaguya,,"Animation, Drama, Fantasy",1129,495,653.50
222,Shoah,,"Documentary, History",N/A,52,655.75
223,Cosmos: A Personal Voyage,,,N/A,55,658.00
224,Attack on Titan: Chronicle,,"Animation, Action, Fantasy, Adventure",N/A,57,659.50
225,Nathan for You: Finding Frances,,,N/A,58,660.25
226,The World at War,,"Documentary, War",N/A,59,661.00
227,I May Destroy You,,,N/A,60,661.75
228,Rashomon,,"Crime, Drama, Mystery",1052,532,662.00
229,Alice In Chains: MTV Unplugged,,"Music, Documentary",N/A,61,662.50
230,"Sherlock, Jr.",,"Action, Comedy, Mystery",2139,172,663.75
231,Folklore: The Long Pond Studio Sessions,,"Music, Documentary",N/A,63,664.00
232,The Young Girls of Rochefort,,"Romance, Comedy, Drama",1742,306,665.00
233,One Crazy Summer: A Look Back at Gravity Falls,,Documentary,N/A,65,665.50
234,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,,Documentary,N/A,66,666.25
235,Amélie,,"Comedy, Romance",180,829,666.75
236,25th Anniversary Studio Ghibli Concert,,"Documentary, Music",N/A,67,667.00
237,Taylor Swift: Reputation Stadium Tour,,Music,N/A,69,668.50
238,Our Planet,,"Documentary, Drama",N/A,70,669.25
239,The Matrix,,"Action, Science Fiction",58,873,669.25
240,Get Out,,"Mystery, Thriller, Horror",13,888,669.25
241,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,Drama,1397,427,669.50
242,The Tatami Galaxy,,,N/A,71,670.00
243,The Strokes: MTV $2 Bill Concert,,Music,N/A,72,670.75
244,Madonna: The Celebration Tour in Rio,,Music,N/A,73,671.50
245,O.J.: Made in America,,"Documentary, Crime, History",N/A,75,673.00
246,Scavengers Reign,,,N/A,76,673.75
247,Reply 1988,,,N/A,77,674.50
248,The History of the Seattle Mariners,,,N/A,79,676.00
249,Frieren: Beyond Journey's End,,,N/A,81,677.50
250,Attack on Titan The Final Chapters: Special 2,,,N/A,83,679.00
251,Le Trou,,"Drama, Thriller, Crime",N/A,85,680.50
252,Sharp Objects,,Comedy,1709,338,680.75
253,Samurai Champloo,,,N/A,87,682.00
254,BLUE EYE SAMURAI,,,N/A,89,683.50
255,Happy Together,,"Drama, Romance",1002,578,684.00
256,Kendrick Lamar's The Big Steppers Tour: Live from Paris,,"Music, Documentary",N/A,91,685.00
257,Once Upon a Time in America,,"Drama, Crime",925,606,685.75
258,The Third Man,,"Thriller, Mystery",1476,423,686.25
259,The Nightman Cometh: Live,,"Comedy, Music",N/A,93,686.50
260,Paper Moon,,"Comedy, Crime, Drama",2036,238,687.50
261,The Last Dance,,"Action, Science Fiction, Adventure",N/A,95,688.00
262,Brass Eye,,Documentary,N/A,96,688.75
263,The Vietnam War,,"Documentary, War",N/A,97,689.50
264,Big Little Lies,,"Action, Comedy, Adventure",2003,254,691.25
265,RRR,,"Action, Drama, History",759,670,692.25
266,The 1975 'At Their Very Best' Live from Madison Square Garden,,Music,N/A,101,692.50
