popularity_rank,title,year,genres
1,Barbie,,"Comedy, Adventure"
2,Parasite,,"Horror, Science Fiction"
3,Everything Everywhere All at Once,,"Action, Adventure, Science Fiction"
4,Fight Club,,Drama
5,La La Land,,"Comedy, Drama, Romance, Music"
6,Interstellar,,"Adventure, Drama, Science Fiction"
7,Oppenheimer,,"Drama, History"
8,Joker,,"Crime, Thriller, Drama"
9,Dune,,"Science Fiction, Adventure"
10,Pulp Fiction,,"Thriller, Crime"
11,Whiplash,,"Drama, Music"
12,Spider-Man: Into the Spider-Verse,,"Animation, Action, Adventure, Science Fiction"
13,Get Out,,"Mystery, Thriller, Horror"
14,Midsommar,,"Horror, Drama, Mystery"
15,The Batman,,"Crime, Mystery, Thriller"
16,Knives Out,,"Comedy, Crime, Mystery"
17,The Dark Knight,,"Drama, Action, Crime, Thriller"
18,Saltburn,,"Drama, Comedy, Thriller"
19,Inception,,"Action, Science Fiction, Adventure"
20,Poor Things,,"Science Fiction, Romance, Comedy"
21,The Truman Show,,"Comedy, Drama"
22,Spider-Man: Across the Spider-Verse,,"Animation, Action, Adventure, Science Fiction"
23,Lady Bird,,"Drama, Comedy"
24,American Psycho,,"Thriller, Drama, Crime"
25,The Grand Budapest Hotel,,"Comedy, Drama"
26,Dune: Part Two,,"Science Fiction, Adventure"
27,The Wolf of Wall Street,,"Crime, Drama, Comedy"
28,Eternal Sunshine of the Spotless Mind,,"Science Fiction, Drama, Romance"
29,Spirited Away,,"Animation, Family, Fantasy"
30,Spider-Man: No Way Home,,"Action, Adventure, Science Fiction"
31,The Menu,,"Comedy, Thriller, Horror"
32,Gone Girl,,"Mystery, Thriller, Drama"
33,The Shining,,"Horror, Thriller"
34,Once Upon a Time… in Hollywood,,"Comedy, Drama, Thriller"
35,Black Swan,,"Drama, Thriller, Horror"
36,Inglourious Basterds,,"Drama, Thriller, War"
37,Little Women,,"Drama, Romance, History"
38,Forrest Gump,,"Comedy, Drama, Romance"
39,Se7en,,"Crime, Mystery, Thriller"
40,Avengers: Infinity War,,"Adventure, Action, Science Fiction"
41,The Silence of the Lambs,,"Crime, Drama, Thriller"
42,Kill Bill: Vol. 1,,"Action, Crime"
43,Baby Driver,,"Action, Crime"
44,Glass Onion,,"Comedy, Crime, Mystery"
45,Avengers: Endgame,,"Adventure, Science Fiction, Action"
46,The Godfather,,"Drama, Crime"
47,10 Things I Hate About You,,"Comedy, Romance, Drama"
48,Call Me by Your Name,,"Romance, Drama"
49,Shutter Island,,"Drama, Thriller, Mystery"
50,Django Unchained,,"Drama, Western"
51,Hereditary,,"Horror, Mystery, Thriller"
52,Ratatouille,,"Animation, Comedy, Family, Fantasy"
53,Her,,"Romance, Science Fiction, Drama"
54,The Social Network,,Drama
55,Nope,,"Horror, Science Fiction, Mystery"
56,Dead Poets Society,,Drama
57,Scott Pilgrim vs. the World,,"Action, Comedy, Romance"
58,The Matrix,,"Action, Science Fiction"
59,Fantastic Mr. Fox,,"Adventure, Animation, Comedy, Family"
60,Taxi Driver,,"Crime, Drama"
61,Challengers,,"Romance, Drama"
62,Inside Out,,"Animation, Family, Adventure, Drama, Comedy"
63,The Perks of Being a Wallflower,,Drama
64,Jojo Rabbit,,"Comedy, War, Drama"
65,Guardians of the Galaxy,,"Action, Science Fiction, Adventure"
66,Black Panther,,"Action, Adventure, Science Fiction"
67,Arrival,,"Drama, Science Fiction, Mystery"
68,Blade Runner 2049,,"Science Fiction, Drama"
69,The Lord of the Rings: The Fellowship of the Ring,,"Adventure, Fantasy, Action"
70,Good Will Hunting,,Drama
71,The Shawshank Redemption,,"Drama, Crime"
72,Past Lives,,"Drama, Romance"
73,Mad Max: Fury Road,,"Action, Adventure, Science Fiction"
74,Coco,,"Family, Animation, Music, Adventure"
75,,500,
76,Titanic,,"Drama, Romance"
77,Donnie Darko,,"Fantasy, Drama, Mystery"
78,Don't Look Up,,"Comedy, Science Fiction, Drama"
79,Anatomy of a Fall,,"Thriller, Mystery, Crime"
80,Up,,"Animation, Comedy, Family, Adventure"
81,Drive,,"Drama, Thriller, Crime"
82,Mean Girls,,"Drama, Comedy"
83,Deadpool,,"Action, Adventure, Comedy"
84,Pearl,,"Horror, Drama"
85,Star Wars,,"Adventure, Action, Science Fiction"
86,Avatar: The Way of Water,,"Science Fiction, Adventure, Action"
87,Us,,"Horror, Thriller"
88,Guardians of the Galaxy Vol. 3,,"Science Fiction, Adventure, Action"
89,Back to the Future,,"Adventure, Comedy, Science Fiction"
90,Spider-Man: Homecoming,,"Action, Adventure, Science Fiction, Drama"
91,Soul,,"Animation, Family, Comedy, Fantasy"
92,Top Gun: Maverick,,"Action, Drama"
93,Howl's Moving Castle,,"Fantasy, Animation, Adventure"
94,X,,"Horror, Thriller"
95,GoodFellas,,"Drama, Crime"
96,Little Miss Sunshine,,"Comedy, Drama"
97,The Hunger Games,,"Science Fiction, Adventure, Fantasy"
98,Harry Potter and the Prisoner of Azkaban,,"Adventure, Fantasy"
99,Aftersun,,Drama
100,The Lighthouse,,"Drama, Fantasy, Thriller"
101,WALL·E,,"Animation, Family, Science Fiction"
102,Bottoms,,Comedy
103,Harry Potter and the Philosopher's Stone,,"Adventure, Fantasy"
104,Bullet Train,,"Action, Comedy, Thriller"
105,Thor: Ragnarok,,"Action, Adventure, Science Fiction"
106,1917,,"War, Action, Drama, History"
107,Avatar,,"Action, Adventure, Fantasy, Science Fiction"
108,No Country for Old Men,,"Crime, Drama, Thriller"
109,2001: A Space Odyssey,,"Science Fiction, Mystery, Adventure"
110,Moonlight,,Drama
111,Doctor Strange in the Multiverse of Madness,,"Fantasy, Action, Adventure"
112,Prisoners,,"Drama, Thriller, Crime"
113,The Devil Wears Prada,,"Drama, Comedy"
114,Spider-Man: Far from Home,,"Action, Adventure, Science Fiction"
115,The Breakfast Club,,"Comedy, Drama"
116,Uncut Gems,,"Drama, Thriller, Crime"
117,The Avengers,,"Science Fiction, Action, Adventure"
118,Memento,,"Mystery, Thriller"
119,Dunkirk,,"War, Action, Drama"
120,Killers of the Flower Moon,,"Crime, History, Drama"
121,Puss in Boots: The Last Wish,,"Animation, Adventure, Fantasy, Comedy, Family"
122,Coraline,,"Animation, Family, Fantasy"
123,It,,Horror
124,Inside Out 2,,"Animation, Family, Adventure, Comedy"
125,Scream,,"Horror, Mystery, Thriller"
126,Shrek,,"Animation, Comedy, Fantasy, Adventure, Family"
127,The Empire Strikes Back,,"Adventure, Action, Science Fiction"
128,Catch Me If You Can,,"Drama, Crime"
129,Spider-Man,,"Action, Science Fiction"
130,A Quiet Place,,"Horror, Drama, Science Fiction"
131,The Banshees of Inisherin,,"Drama, Comedy"
132,My Neighbor Totoro,,"Fantasy, Animation, Family"
133,Nightcrawler,,"Crime, Drama, Thriller"
134,The Holdovers,,"Comedy, Drama"
135,Toy Story,,"Animation, Adventure, Family, Comedy"
136,Tenet,,"Action, Thriller, Science Fiction"
137,Jurassic Park,,"Adventure, Science Fiction"
138,The Lord of the Rings: The Return of the King,,"Adventure, Fantasy, Action"
139,Anyone But You,,"Romance, Comedy"
140,The Incredibles,,"Action, Adventure, Animation, Family"
141,Requiem for a Dream,,"Crime, Drama"
142,Lost in Translation,,"Drama, Romance"
143,Superbad,,Comedy
144,Guardians of the Galaxy Vol. 2,,"Science Fiction, Adventure, Action"
145,Zodiac,,"Crime, Drama, Mystery, Thriller"
146,Iron Man,,"Action, Science Fiction, Adventure"
147,Alien,,"Horror, Science Fiction"
148,The Hunger Games: The Ballad of Songbirds & Snakes,,"Drama, Science Fiction, Action"
149,Wonka,,"Comedy, Family, Fantasy"
150,Finding Nemo,,"Animation, Family"
151,Portrait of a Lady on Fire,,"Drama, Romance, History"
152,A Clockwork Orange,,"Science Fiction, Crime"
153,The Super Mario Bros. Movie,,"Animation, Family, Adventure, Fantasy, Comedy"
154,"Monsters, Inc.",,"Animation, Comedy, Family"
155,Before Sunrise,,"Drama, Romance"
156,The Lord of the Rings: The Two Towers,,"Adventure, Fantasy, Action"
157,Marriage Story,,Drama
158,Pride & Prejudice,,"Drama, Romance"
159,Home Alone,,"Comedy, Crime, Family"
160,Captain America: Civil War,,"Adventure, Action, Science Fiction"
161,Blade Runner,,"Science Fiction, Drama, Thriller"
162,Reservoir Dogs,,"Crime, Thriller"
163,Spider-Man 2,,"Action, Adventure, Science Fiction"
164,The Dark Knight Rises,,"Action, Crime, Drama, Thriller"
165,Oldboy,,"Drama, Thriller, Mystery, Action"
166,Doctor Strange,,"Action, Adventure, Fantasy"
167,Asteroid City,,"Comedy, Drama"
168,Harry Potter and the Goblet of Fire,,"Adventure, Fantasy"
169,The Hunger Games: Catching Fire,,"Adventure, Action, Science Fiction"
170,John Wick,,"Action, Thriller"
171,Batman Begins,,"Action, Crime, Drama"
172,Harry Potter and the Chamber of Secrets,,"Adventure, Fantasy"
173,The Prestige,,"Drama, Mystery, Science Fiction"
174,Star Wars: The Force Awakens,,"Adventure, Action, Science Fiction"
175,Psycho,,"Horror, Thriller, Mystery"
176,The Witch,,"Drama, Mystery, Horror, History"
177,The Lion King,,"Family, Animation, Drama"
178,Bohemian Rhapsody,,"Music, Drama"
179,Captain America: The Winter Soldier,,"Action, Adventure, Science Fiction"
180,Amélie,,"Comedy, Romance"
181,Barbarian,,"Horror, Mystery, Thriller"
182,Schindler's List,,"Drama, History, War"
183,Mamma Mia!,,"Comedy, Romance"
184,Babylon,,"Drama, Comedy"
185,The French Dispatch,,"Drama, Comedy"
186,Princess Mononoke,,"Adventure, Fantasy, Animation"
187,The Lobster,,"Comedy, Drama, Romance"
188,Priscilla,,"Drama, Romance, Music"
189,The Boy and the Heron,,"Animation, Adventure, Fantasy"
190,Harry Potter and the Deathly Hallows: Part 2,,"Fantasy, Adventure"
191,Tangled,,"Animation, Family"
192,Star Wars: Episode III – Revenge of the Sith,,"Adventure, Action, Science Fiction"
193,Talk to Me,,"Horror, Thriller"
194,Jaws,,"Horror, Thriller, Adventure"
195,The Whale,,Drama
196,Ex Machina,,"Drama, Science Fiction"
197,Brokeback Mountain,,"Drama, Romance"
198,Return of the Jedi,,"Adventure, Action, Science Fiction"
199,Bodies Bodies Bodies,,"Comedy, Horror, Mystery"
200,There Will Be Blood,,Drama
201,Don't Worry Darling,,"Thriller, Mystery, Drama"
202,The Departed,,"Drama, Thriller, Crime"
203,Clueless,,"Comedy, Romance, Drama"
204,Split,,"Horror, Thriller"
205,Harry Potter and the Order of the Phoenix,,"Adventure, Fantasy"
206,The Nightmare Before Christmas,,"Fantasy, Animation, Family"
207,Avengers: Age of Ultron,,"Action, Adventure, Science Fiction"
208,Juno,,"Comedy, Drama, Romance"
209,Thor: Love and Thunder,,"Fantasy, Action, Comedy"
210,Perfect Blue,,"Animation, Thriller"
211,Fargo,,"Crime, Drama, Thriller"
212,Birdman or,The Unexpected Virtue of Ignorance,"Drama, Comedy"
213,The Martian,,"Drama, Adventure, Science Fiction"
214,Shrek 2,,"Animation, Family, Comedy, Fantasy, Adventure, Romance"
215,Twilight,,"Fantasy, Drama, Romance"
216,The Notebook,,"Romance, Drama"
217,The Suicide Squad,,"Action, Comedy, Adventure"
218,The Zone of Interest,,"History, Drama"
219,The Iron Claw,,"Drama, History"
220,No Hard Feelings,,"Comedy, Romance"
221,Mulholland Drive,,"Thriller, Drama, Mystery"
222,Last Night in Soho,,"Mystery, Thriller, Horror"
223,Encanto,,"Animation, Comedy, Family, Fantasy"
224,Society of the Snow,,"Drama, History"
225,Star Wars: Episode I – The Phantom Menace,,"Adventure, Action, Science Fiction"
226,Star Wars: The Last Jedi,,"Adventure, Action, Science Fiction"
227,Scarface,,"Action, Crime, Drama"
228,Léon: The Professional,,"Crime, Drama, Action"
229,Harry Potter and the Half-Blood Prince,,"Adventure, Fantasy"
230,"I, Tonya",,"Drama, Comedy"
231,The Big Lebowski,,"Comedy, Crime"
232,The Godfather: Part II,,"Crime, Drama, Thriller"
233,Black Widow,,"Action, Adventure, Science Fiction"
234,Bones and All,,"Drama, Horror, Romance"
235,Logan,,"Action, Drama, Science Fiction"
236,Harry Potter and the Deathly Hallows: Part 1,,"Adventure, Fantasy"
237,12 Angry Men,,Drama
238,Ferris Bueller's Day Off,,Comedy
239,Kill Bill: Vol. 2,,"Action, Crime, Thriller"
240,Pirates of the Caribbean: The Curse of the Black Pearl,,"Adventure, Fantasy, Action"
241,Deadpool 2,,"Action, Comedy, Adventure"
242,Moonrise Kingdom,,"Comedy, Drama, Romance"
243,Trainspotting,,"Drama, Crime"
244,Edward Scissorhands,,"Fantasy, Drama, Romance"
245,The Thing,,"Horror, Mystery, Science Fiction"
246,Shang-Chi and the Legend of the Ten Rings,,"Action, Adventure, Fantasy"
247,Captain Marvel,,"Action, Adventure, Science Fiction"
248,Rogue One: A Star Wars Story,,"Action, Adventure, Science Fiction"
249,The Amazing Spider-Man,,"Action, Adventure, Science Fiction"
250,The Nice Guys,,"Comedy, Crime, Action"
251,Saving Private Ryan,,"Drama, History, War"
252,About Time,,"Drama, Romance, Fantasy"
253,Ant-Man,,"Science Fiction, Action, Adventure"
