rating_rank,title,year,genres
1,Band of Brothers,,Drama
2,Harakiri,,Drama
3,Stop Making Sense,,"Documentary, Music"
4,Radiohead: In Rainbows – From the Basement,,"Music, Documentary"
5,No Half Measures: Creating the Final Season of Breaking Bad,,Documentary
6,Cowboy Bebop,,"Action, Animation, Science Fiction"
7,Fullmetal Alchemist: Brotherhood,,
8,Monster,,"Crime, Drama"
9,Come and See,,"Drama, War"
10,12 Angry Men,,Drama
11,Over the Garden Wall,,Comedy
12,Planet Earth II,,Documentary
13,Twin Peaks,,"TV Movie, Drama, Mystery, Thriller"
14,Seven Samurai,,"Action, Drama"
15,National Theatre Live: Fleabag,,"Comedy, Drama"
16,Twin Peaks: The Return,,Documentary
17,The Godfather: Part II,,"Crime, Drama, Thriller"
18,High and Low,,"Drama, Crime, Mystery"
19,Planet Earth,,Documentary
20,Samuel,,
21,Chernobyl,,Documentary
22,The Pop Out: Ken & Friends,,"Music, Documentary"
23,Dekalog,,
24,The Human Condition III: A Soldier's Prayer,,"War, Drama, History"
25,Renaissance: A Film by Beyoncé,,"Music, Documentary"
26,When They See Us,,Documentary
27,Parasite,,"Horror, Science Fiction"
28,The Shawshank Redemption,,"Drama, Crime"
29,Berserk,,"Fantasy, Thriller"
30,The Godfather,,"Drama, Crime"
31,Ping Pong the Animation,,
32,Avatar Spirits,,Documentary
33,Yi Yi,,Drama
34,Neon Genesis Evangelion,,"Animation, Science Fiction, Action, Drama"
35,Vinland Saga,,
36,The Beatles: Get Back,,"Music, Documentary"
37,Nirvana: Unplugged In New York,,"Music, Documentary"
38,City of God,,"Drama, Crime"
39,Nana,,"Romance, Drama, Music"
40,National Theatre Live: Prima Facie,,"Drama, Crime"
41,Nirvana the Band the Show,,
42,Schindler's List,,"Drama, History, War"
43,Ikiru,,Drama
44,Tapping the Wire,,Documentary
45,Night and Fog,,"Documentary, War"
46,Blue Planet II,,
47,La Haine,,Drama
48,The Lord of the Rings: The Return of the King,,"Adventure, Fantasy, Action"
49,The Human Condition I: No Greater Love,,"War, Drama, History"
50,Ran,,
51,Fanny and Alexander,,"Fantasy, Drama, Mystery"
52,Shoah,,"Documentary, History"
53,A Brighter Summer Day,,"Crime, Drama, Romance"
54,"The Good, the Bad and the Ugly",,Western
55,Cosmos: A Personal Voyage,,
56,Paris Is Burning,,Documentary
57,Attack on Titan: Chronicle,,"Animation, Action, Fantasy, Adventure"
58,Nathan for You: Finding Frances,,
59,The World at War,,"Documentary, War"
60,I May Destroy You,,
61,Alice In Chains: MTV Unplugged,,"Music, Documentary"
62,GoodFellas,,"Drama, Crime"
63,Folklore: The Long Pond Studio Sessions,,"Music, Documentary"
64,The Dark Knight,,"Drama, Action, Crime, Thriller"
65,One Crazy Summer: A Look Back at Gravity Falls,,Documentary
66,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,,Documentary
67,25th Anniversary Studio Ghibli Concert,,"Documentary, Music"
68,Neon Genesis Evangelion: The End of Evangelion,,"Animation, Science Fiction, Action, Drama"
69,Taylor Swift: Reputation Stadium Tour,,Music
70,Our Planet,,"Documentary, Drama"
71,The Tatami Galaxy,,
72,The Strokes: MTV $2 Bill Concert,,Music
73,Madonna: The Celebration Tour in Rio,,Music
74,Autumn Sonata,,Drama
75,O.J.: Made in America,,"Documentary, Crime, History"
76,Scavengers Reign,,
77,Reply 1988,,
78,Cinema Paradiso,,"Drama, Romance"
79,The History of the Seattle Mariners,,
80,Grave of the Fireflies,,Drama
81,Frieren: Beyond Journey's End,,
82,There Will Be Blood,,Drama
83,Attack on Titan The Final Chapters: Special 2,,
84,Spirited Away,,"Animation, Family, Fantasy"
85,Le Trou,,"Drama, Thriller, Crime"
86,Dune: Part Two,,"Science Fiction, Adventure"
87,Samurai Champloo,,
88,Paths of Glory,,"War, Drama, History"
89,BLUE EYE SAMURAI,,
90,Woman in the Dunes,,"Drama, Thriller"
91,Kendrick Lamar's The Big Steppers Tour: Live from Paris,,"Music, Documentary"
92,Spider-Man: Across the Spider-Verse,,"Animation, Action, Adventure, Science Fiction"
93,The Nightman Cometh: Live,,"Comedy, Music"
94,Apocalypse Now,,"Drama, War"
95,The Last Dance,,"Action, Science Fiction, Adventure"
96,Brass Eye,,Documentary
97,The Vietnam War,,"Documentary, War"
98,Sunset Boulevard,,Drama
99,The Apartment,,"Comedy, Drama, Romance"
100,Tokyo Story,,Drama
101,The 1975 'At Their Very Best' Live from Madison Square Garden,,Music
102,Portrait of a Lady on Fire,,"Drama, Romance, History"
103,The Passion of Joan of Arc,,"Drama, History"
104,Andrei Rublev,,"Drama, History"
105,Whiplash,,"Drama, Music"
106,Attack on Titan The Final Chapters: Special 1,,
107,Stalker,,"Thriller, Horror"
108,"history of the entire world, i guess",,
109,VOLCANO,,"Science Fiction, Action, Drama, Thriller"
110,Mario Puzo's The Godfather: The Complete Novel for Television,,
111,Mishima: A Life in Four Chapters,,Drama
112,Spider-Man: Into the Spider-Verse,,"Animation, Action, Adventure, Science Fiction"
113,Veneno,,"Action, Drama"
114,Close-Up,,"Crime, Drama"
115,National Theatre Live: Angels In America — Part Two: Perestroika,,Drama
116,The Human Condition II: Road to Eternity,,"War, Drama, History"
117,Normal People,,Drama
118,Fanny and Alexander,,"Fantasy, Drama, Mystery"
119,Memories of Murder,,"Crime, Drama, Thriller"
120,Incendies,,"Drama, War, Mystery"
121,Scenes from a Marriage,,"Drama, Romance"
122,Okupas,,
123,Persona,,Drama
124,The Handmaiden,,"Thriller, Drama, Romance"
125,Serial Experiments Lain,,
126,National Theatre Live: Angels In America — Part One: Millennium Approaches,,Drama
